order_id,order_date,customer_name,state,city,sales
B-25601,01-04-2018,Bharat,Gujarat,Ahmedabad,510
B-25602,01-04-2018,Pearl,Maharashtra,Pune,969
B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,437
B-25604,03-04-2018,Divsha,Rajasthan,Jaipur,953
B-25605,05-04-2018,Kasheen,West Bengal,Kolkata,972
B-25606,06-04-2018,Hazel,Karnataka,Bangalore,590
B-25607,06-04-2018,Sonakshi,Jammu and Kashmir,Kashmir,314
B-25608,08-04-2018,Aarushi,Tamil Nadu,Chennai,808
B-25609,09-04-2018,Jitesh,Uttar Pradesh,Lucknow,778
B-25610,09-04-2018,Yogesh,Bihar,Patna,312
B-25611,11-04-2018,Anita,Kerala ,Thiruvananthapuram,857
B-25612,12-04-2018,Shrichand,Punjab,Chandigarh,496
B-25613,12-04-2018,Mukesh,Haryana,Chandigarh,285
B-25614,13-04-2018,Vandana,Himachal Pradesh,Simla,656
B-25615,15-04-2018,Bhavna,Sikkim,Gangtok,930
B-25616,15-04-2018,Kanak,Goa,Goa,147
B-25617,17-04-2018,Sagar,Nagaland,Kohima,260
B-25618,18-04-2018,Manju,Andhra Pradesh,Hyderabad,272
B-25619,18-04-2018,Ramesh,Gujarat,Ahmedabad,332
B-25620,20-04-2018,Sarita,Maharashtra,Pune,260
B-25621,20-04-2018,Deepak,Madhya Pradesh,Bhopal,825
B-25622,22-04-2018,Monisha,Rajasthan,Jaipur,811
B-25623,22-04-2018,Atharv,West Bengal,Kolkata,965
B-25624,22-04-2018,Vini,Karnataka,Bangalore,720
B-25625,23-04-2018,Pinky,Jammu and Kashmir,Kashmir,978
B-25626,23-04-2018,Bhishm,Maharashtra,Mumbai,916
B-25627,23-04-2018,Hitika,Madhya Pradesh,Indore,921
B-25628,24-04-2018,Pooja,Bihar,Patna,751
B-25629,24-04-2018,Hemant,Kerala ,Thiruvananthapuram,376
B-25630,24-04-2018,Sahil,Punjab,Chandigarh,957
B-25631,24-04-2018,Ritu,Haryana,Chandigarh,347
B-25632,25-04-2018,Manish,Himachal Pradesh,Simla,463
B-25633,26-04-2018,Amit,Sikkim,Gangtok,137
B-25634,26-04-2018,Sanjay,Goa,Goa,842
B-25635,26-04-2018,Nidhi,Nagaland,Kohima,980
B-25636,26-04-2018,Nishi,Maharashtra,Mumbai,337
B-25637,26-04-2018,Ashmi,Madhya Pradesh,Indore,486
B-25638,26-04-2018,Parth,Maharashtra,Pune,883
B-25639,27-04-2018,Lisha,Madhya Pradesh,Bhopal,119
B-25640,27-04-2018,Paridhi,Rajasthan,Jaipur,187
B-25641,27-04-2018,Parishi,West Bengal,Kolkata,511
B-25642,28-04-2018,Ajay,Karnataka,Bangalore,780
B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir,973
B-25644,30-04-2018,Mayank,Maharashtra,Mumbai,1000
B-25645,01-05-2018,Yaanvi,Madhya Pradesh,Indore,473
B-25646,01-05-2018,Sonal,Bihar,Patna,917
B-25647,03-05-2018,Sharda,Kerala ,Thiruvananthapuram,473
B-25648,04-05-2018,Aditya,Punjab,Chandigarh,675
B-25649,05-05-2018,Rachna,Haryana,Chandigarh,856
B-25650,06-05-2018,Chirag,Maharashtra,Mumbai,834
